NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS; Nº ALUNOS 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17346;GERMANO BENENCASE MAESTRO;Bolívia; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17346;GERMANO BENENCASE MAESTRO;Colômbia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17346;GERMANO BENENCASE MAESTRO;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;39846;ANTONIO ZANAGA PREFEITO;Argentina; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;39846;ANTONIO ZANAGA PREFEITO;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;39846;ANTONIO ZANAGA PREFEITO;Haiti; 5 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42473;CONSTANTINO AUGUSTO PINKE PROF;Haiti; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42473;CONSTANTINO AUGUSTO PINKE PROF;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42481;MARCELINO TOMBI PROF;Venezuela; 3 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;45500;CLARICE COSTA CONTI PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;47004;HYLDA PARDO DE OLIVEIRA PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;47004;HYLDA PARDO DE OLIVEIRA PROFA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;49897;BENTO PENTEADO DOS SANTOS PROF;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435442;MARIA FRIZZARIN PROFA;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435454;MARIA DO CARMO AUGUSTI PROFA;Paraguai; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435454;MARIA DO CARMO AUGUSTI PROFA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;Venezuela; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903760;ANTONIETA GHIZINI LENHARE PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Estados Unidos da América; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Paraguai; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907297;IDALINA GRANDIN MIRANDOLA PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907297;IDALINA GRANDIN MIRANDOLA PROFA;Chile; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907297;IDALINA GRANDIN MIRANDOLA PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;918854;ANNA PERES DA SILVA PROFESSORA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;921567;WILSON CAMARGO PROF;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;921567;WILSON CAMARGO PROF;Venezuela; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;922183;SEBASTIANA PAIE RODELLA PROFA;Venezuela; 3 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Bolívia; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Colômbia; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Haiti; 7 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Itália; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;39810;DORTI ZAMBELLO CALIL PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;39810;DORTI ZAMBELLO CALIL PROFA;Haiti; 2 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;49906;SILVANIA APARECIDA SANTOS PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;49906;SILVANIA APARECIDA SANTOS PROFA;Cuba; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;49906;SILVANIA APARECIDA SANTOS PROFA;Haiti; 3 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;49906;SILVANIA APARECIDA SANTOS PROFA;Venezuela; 3 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;497733;GERALDO DE OLIVEIRA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;497733;GERALDO DE OLIVEIRA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;903784;ALEXANDRE BASSORA;Argentina; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;903784;ALEXANDRE BASSORA;Haiti; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;905574;JOAQUIM RODRIGUES AZENHA DR;Bolívia; 1 
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;905574;JOAQUIM RODRIGUES AZENHA DR;Haiti; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;16986;JUVELINA DE OLIVEIRA RODRIGUES PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;16986;JUVELINA DE OLIVEIRA RODRIGUES PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17000;INOCENCIO MAIA PROF;Cuba; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17000;INOCENCIO MAIA PROF;Peru; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17000;INOCENCIO MAIA PROF;Venezuela; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17012;JOSE GABRIEL DE OLIVEIRA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17061;ULISSES DE OLIVEIRA VALENTE PROF;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17061;ULISSES DE OLIVEIRA VALENTE PROF;Cuba; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17073;LUIZ ALVES CEL;Cuba; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17073;LUIZ ALVES CEL;Venezuela; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17085;ANTONIO DE ARRUDA RIBEIRO PROF;Colômbia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17115;ELISABETH STEAGALL PIRTOUSCHEG PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;17231;EMILIO ROMI COMENDADOR;Haiti; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;39330;MARIA JOSE MARGATO BROCATTO PROFA;Colômbia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;39330;MARIA JOSE MARGATO BROCATTO PROFA;Haiti; 9 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;39330;MARIA JOSE MARGATO BROCATTO PROFA;Japão; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;39822;HELOIZA THEREZINHA MURBACH LACAVA PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;45512;NEUZA MARIA NAZATTO DE CARVALHO PROFA;Bolívia; 3 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;45512;NEUZA MARIA NAZATTO DE CARVALHO PROFA;Venezuela; 3 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;47016;ALCHESTE DE GODOY ANDIA PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;47016;ALCHESTE DE GODOY ANDIA PROFA;Haiti; 3 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;47016;ALCHESTE DE GODOY ANDIA PROFA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;49918;JORGE CALIL ASSAD SALLUM PROF;Colômbia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;49918;JORGE CALIL ASSAD SALLUM PROF;Estados Unidos da América; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;903796;DIRCEU DIAS CARNEIRO;Síria; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;903802;GUIOMAR DIAS DA SILVA PROFA;Guiana; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;903802;GUIOMAR DIAS DA SILVA PROFA;Haiti; 3 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;909324;JOSE DOMINGUES RODRIGUES PROF;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;909324;JOSE DOMINGUES RODRIGUES PROF;Haiti; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;912827;FIORAVANTE LUIZ ANGOLINI;Peru; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;913625;JADYR GUIMARAES CASTRO PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;913625;JADYR GUIMARAES CASTRO PROFA;Haiti; 4 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;919159;ATTILIO DEXTRO PROF;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;919159;ATTILIO DEXTRO PROF;Virgens Americanas, Ilhas; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;919160;LAURA EMMIE PYLES PROFA;Dominicana, República; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;920599;MARIA DE LOURDES BEOZZO FRANCHI PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;920599;MARIA DE LOURDES BEOZZO FRANCHI PROFA;Venezuela; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;921178;EDUARDO SILVA PROF;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;922353;HENRIQUE NICOPELLI MONSENHOR;Dominicana, República; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;922353;HENRIQUE NICOPELLI MONSENHOR;Haiti; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;922959;SONIA APARECIDA BATAGLIA CARDOSO PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;922959;SONIA APARECIDA BATAGLIA CARDOSO PROFA;Venezuela; 2 
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;8;29361;FRANCISCO TEODORO DE ANDRADE;Japão; 1 
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;8;29373;ALVARO GUIAO DR;Cuba; 1 
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;8;29397;AUGUSTO MARIANI DR;Portugal; 1 
ESTADUAL - SE;ANDRADINA;CASTILHO;CASTILHO;8;29543;ARMEL MIRANDA;Haiti; 1 
ESTADUAL - SE;ANDRADINA;GUARACAI;GUARACAI;8;29506;JUVENTINO NOGUEIRA RAMOS;Itália; 1 
ESTADUAL - SE;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;8;30557;LEA SILVA MORAES PROFA;Japão; 1 
ESTADUAL - SE;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;8;30557;LEA SILVA MORAES PROFA;Portugal; 1 
ESTADUAL - SE;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;8;30740;ARNO HAUSSER;Portugal; 2 
ESTADUAL - SE;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;8;36195;URUBUPUNGA;Portugal; 3 
ESTADUAL - SE;ANDRADINA;ITAPURA;ITAPURA;8;29488;PAULO GRASSI BONILHA DR;Espanha; 1 
ESTADUAL - SE;APIAI;BARRA DO CHAPEU;BARRA DO CHAPEU;8;14412;PAULO FRANCISCO DE ASSIS PROF;Espanha; 1 
ESTADUAL - SE;APIAI;GUAPIARA;GUAPIARA;8;48227;LEILA MARISA PASSARO PROFA;Japão; 1 
ESTADUAL - SE;APIAI;RIBEIRA;RIBEIRA;8;14312;DIOGENES RIBEIRO DE LIMA;Espanha; 1 
ESTADUAL - SE;APIAI;RIBEIRAO BRANCO;RIBEIRAO BRANCO;8;65456;JOAO PAULO II PAPA;Japão; 1 
ESTADUAL - SE;APIAI;RIBEIRAO BRANCO;RIBEIRAO BRANCO;8;905252;HONORATO FERREIRA DA SILVA;Venezuela; 3 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Argentina; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Cuba; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Equador; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Haiti; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Japão; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;3;565076;CEEJA DE ARACATUBA;Venezuela; 3 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29713;LUIZ GAMA;Irlanda; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29713;LUIZ GAMA;Venezuela; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29737;LICOLINA VILLELA REIS ALVES PROFA;Japão; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29737;LICOLINA VILLELA REIS ALVES PROFA;Portugal; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29737;LICOLINA VILLELA REIS ALVES PROFA;Venezuela; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29749;CLOVIS DE ARRUDA CAMPOS DR;Equador; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29749;CLOVIS DE ARRUDA CAMPOS DR;Venezuela; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29762;NILCE MAIA SOUTO MELO PROFA;Venezuela; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29774;JOSE AUGUSTO LOPES BORGES PROF;Japão; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29804;VITOR ANTONIO TRINDADE PROF;Colômbia; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29804;VITOR ANTONIO TRINDADE PROF;Cuba; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29804;VITOR ANTONIO TRINDADE PROF;Equador; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29804;VITOR ANTONIO TRINDADE PROF;Haiti; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29804;VITOR ANTONIO TRINDADE PROF;Venezuela; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29877;PURCINA ELISA DE ALMEIDA PROFA;Colômbia; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29877;PURCINA ELISA DE ALMEIDA PROFA;Japão; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29877;PURCINA ELISA DE ALMEIDA PROFA;Venezuela; 3 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29889;JORGE CORREA PROF;Cuba; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;29889;JORGE CORREA PROF;Venezuela; 2 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;48513;ALTINA MORAES SAMPAIO PROFA;Japão; 1 
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;48513;ALTINA MORAES SAMPAIO PROFA;Portugal; 1 
